Genre,GenreLemma,Cluster,UMAP0,UMAP1
thriller action romance,thriller action romance,5,-2.151255,4.469111
thriller comedy,thriller comedy,5,-2.263821,4.3037205
thriller drama,thriller drama,5,-2.2352252,4.279481
thriller romance,thriller romance,5,-2.1583114,4.369394
tragedy drama romance,tragedy drama romance,5,-2.0596871,5.382706
tv miniseries,tv miniserie,5,-2.8799224,4.064393
war family drama,war family drama,5,-1.4655505,4.9391427
 worldwarii drama, worldwarii drama,6,0.21077894,3.1806312
000 years ago in the canadian arctic,000 year ago in the canadian arctic,6,-0.0886971,2.2517366
16 mm,16 mm,6,-0.12948112,3.7651193
action entertainer,action entertainer,6,-1.0927734,2.1882093
afghan war drama,afghan war drama,6,0.017927138,3.1550174
african adventure,african adventure,6,0.046459906,2.871427
african drama,african drama,6,0.14171188,3.1254752
american football,american football,6,0.12606165,3.057036
ancient-costume,ancient-costume,6,-0.6735664,2.1191354
animated comedy,animate comedy,6,0.24267745,4.3400297
animated adventure,animated adventure,6,0.354508,1.9962224
animated drama,animated drama,6,0.36677817,2.2964666
animated fantasy,animated fantasy,6,0.31859878,2.0107212
animated feature,animated feature,6,0.42092916,2.2005434
animated feature ,animated feature,6,0.42851245,2.1750534
animated series,animated series,6,0.46571705,2.6761117
biblical drama,biblical drama,6,-0.44522452,2.8808787
biblical epic,biblical epic,6,-0.9171168,2.7699764
biographical crime,biographical crime,6,-0.18525407,2.105805
biographical devotional,biographical devotional,6,1.0581568,3.0459836
biographical drama,biographical drama,6,-0.923566,2.674611
biographical fim,biographical fim,6,0.51476127,2.390729
biographical legend devotional,biographical legend devotional,6,1.0182709,3.1427507
biographical war,biographical war,6,-0.13062882,2.2192423
black comedy,black comedy,6,0.20057382,4.0790763
black humour,black humour,6,0.1431149,3.9297488
christian drama,christian drama,6,0.1685276,3.1996582
colonial adventure,colonial adventure,6,-0.252832,3.2279522
comedic drama,comedic drama,6,-0.8778633,2.8493242
comedy adventure,comedy adventure,6,-0.77944773,2.0673454
comedy family,comedy family,6,-0.8575096,3.9533496
dark comedy,dark comedy,6,0.22918518,3.9878378
dark fantasy,dark fantasy,6,0.37342718,3.2196894
dark slasher,dark slasher,6,-0.79868126,1.8170352
detective drama,detective drama,6,0.63112336,3.590756
detective fiction,detective fiction,6,0.30288422,2.3534956
devotional horror,devotional horror,6,-0.63677174,1.8580958
drama loosely,drama loosely,6,-0.41600442,3.701189
dramatic comedy,dramatic comedy,6,0.06494757,2.4143643
epic drama,epic drama,6,-0.29312178,2.6194336
epic fantasy,epic fantasy,6,0.17239596,2.0094097
erotic comedy,erotic comedy,6,0.15318677,2.5957937
erotic drama,erotic drama,6,-0.3618659,2.766149
erotic horror,erotic horror,6,-0.6838181,1.8785127
fairy tale,fairy tale,6,0.038116857,1.9238492
fantasy action,fantasy action,6,-0.6565464,2.383448
fantasy adventure,fantasy adventure,6,-0.8855299,2.1900105
fantasy anime,fantasy anime,6,0.030862771,3.5776942
fantasy comedy,fantasy comedy,6,-0.13013603,4.103613
fantasy costume,fantasy costume,6,-0.8233711,2.2389975
fantasy drama,fantasy drama,6,-0.14496101,3.7091904
fantasy romance,fantasy romance,6,-0.86853814,3.502364
fantasy-period,fantasy-period,6,-1.2288387,1.8491926
futuristic drama,futuristic drama,6,-0.32495263,2.6153958
gangster black comedy,gangster black comedy,6,-0.72787756,3.682972
gothic mystery,gothic mystery,6,-0.20861623,1.9776708
historical adventure,historical adventure,6,-0.23604146,2.0863726
historical anime,historical anime,6,0.62645394,2.9609509
